reasoner,ontology,classcount,time
Fl0wer,Ontology-pro.obo_ontology.ont,667,15
Hermit,Ontology-pro.obo_ontology.ont,667,44
Openllet,Ontology-pro.obo_ontology.ont,667,140
JFact,Ontology-pro.obo_ontology.ont,667,231
Fl0wer,Ontology-pro.obo_ontology.ont,667,14
Hermit,Ontology-pro.obo_ontology.ont,667,45
Openllet,Ontology-pro.obo_ontology.ont,667,145
JFact,Ontology-pro.obo_ontology.ont,667,217
Fl0wer,Ontology-pro.obo_ontology.ont,667,16
Hermit,Ontology-pro.obo_ontology.ont,667,46
Openllet,Ontology-pro.obo_ontology.ont,667,139
JFact,Ontology-pro.obo_ontology.ont,667,225
Fl0wer,Ontology-pro.obo_ontology.ont,667,15
Hermit,Ontology-pro.obo_ontology.ont,667,44
Openllet,Ontology-pro.obo_ontology.ont,667,138
JFact,Ontology-pro.obo_ontology.ont,667,225
Fl0wer,Ontology-pro.obo_ontology.ont,667,19
Hermit,Ontology-pro.obo_ontology.ont,667,45
Openllet,Ontology-pro.obo_ontology.ont,667,139
JFact,Ontology-pro.obo_ontology.ont,667,220
Fl0wer,Ontology-pro.obo_ontology.ont,667,15
Hermit,Ontology-pro.obo_ontology.ont,667,44
Openllet,Ontology-pro.obo_ontology.ont,667,139
JFact,Ontology-pro.obo_ontology.ont,667,226
Fl0wer,Ontology-pro.obo_ontology.ont,667,16
Hermit,Ontology-pro.obo_ontology.ont,667,45
Openllet,Ontology-pro.obo_ontology.ont,667,138
JFact,Ontology-pro.obo_ontology.ont,667,222
Fl0wer,Ontology-pro.obo_ontology.ont,667,15
Hermit,Ontology-pro.obo_ontology.ont,667,43
Openllet,Ontology-pro.obo_ontology.ont,667,140
JFact,Ontology-pro.obo_ontology.ont,667,223
Fl0wer,Ontology-pro.obo_ontology.ont,667,14
Hermit,Ontology-pro.obo_ontology.ont,667,46
Openllet,Ontology-pro.obo_ontology.ont,667,142
JFact,Ontology-pro.obo_ontology.ont,667,216
Fl0wer,Ontology-pro.obo_ontology.ont,667,16
Hermit,Ontology-pro.obo_ontology.ont,667,45
Openllet,Ontology-pro.obo_ontology.ont,667,142
JFact,Ontology-pro.obo_ontology.ont,667,226
Fl0wer,Ontology-pro.obo_ontology.ont,667,16
Hermit,Ontology-pro.obo_ontology.ont,667,43
Openllet,Ontology-pro.obo_ontology.ont,667,137
JFact,Ontology-pro.obo_ontology.ont,667,225
Fl0wer,Ontology-pro.obo_ontology.ont,667,16
Hermit,Ontology-pro.obo_ontology.ont,667,43
Openllet,Ontology-pro.obo_ontology.ont,667,139
JFact,Ontology-pro.obo_ontology.ont,667,219
Fl0wer,Ontology-pro.obo_ontology.ont,667,15
Hermit,Ontology-pro.obo_ontology.ont,667,43
Openllet,Ontology-pro.obo_ontology.ont,667,138
JFact,Ontology-pro.obo_ontology.ont,667,215
Fl0wer,Ontology-pro.obo_ontology.ont,667,15
Hermit,Ontology-pro.obo_ontology.ont,667,43
Openllet,Ontology-pro.obo_ontology.ont,667,139
JFact,Ontology-pro.obo_ontology.ont,667,218
Fl0wer,Ontology-pro.obo_ontology.ont,667,17
Hermit,Ontology-pro.obo_ontology.ont,667,44
Openllet,Ontology-pro.obo_ontology.ont,667,138
JFact,Ontology-pro.obo_ontology.ont,667,218
Fl0wer,Ontology-pro.obo_ontology.ont,667,15
Hermit,Ontology-pro.obo_ontology.ont,667,39
Openllet,Ontology-pro.obo_ontology.ont,667,139
JFact,Ontology-pro.obo_ontology.ont,667,218
Fl0wer,Ontology-pro.obo_ontology.ont,667,14
Hermit,Ontology-pro.obo_ontology.ont,667,44
Openllet,Ontology-pro.obo_ontology.ont,667,137
JFact,Ontology-pro.obo_ontology.ont,667,227
Fl0wer,Ontology-pro.obo_ontology.ont,667,14
Hermit,Ontology-pro.obo_ontology.ont,667,47
Openllet,Ontology-pro.obo_ontology.ont,667,141
JFact,Ontology-pro.obo_ontology.ont,667,226
Fl0wer,Ontology-pro.obo_ontology.ont,667,14
Hermit,Ontology-pro.obo_ontology.ont,667,43
Openllet,Ontology-pro.obo_ontology.ont,667,141
JFact,Ontology-pro.obo_ontology.ont,667,222
Fl0wer,Ontology-pro.obo_ontology.ont,667,15
Hermit,Ontology-pro.obo_ontology.ont,667,43
Openllet,Ontology-pro.obo_ontology.ont,667,137
JFact,Ontology-pro.obo_ontology.ont,667,216
Fl0wer,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,117
Hermit,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,304
Openllet,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,432
JFact,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,16759
Fl0wer,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,121
Hermit,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,311
Openllet,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,424
JFact,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,16264
Fl0wer,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,153
Hermit,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,306
Openllet,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,547
JFact,Ontology-human-dev-anat-staged.obo_ontology.ont,8340,15488
